id,carat,cut,color,clarity,depth,table,price,x,y,z
48068,0.51,Premium,D,VS2,58.0,60.0,1928,5.29,5.26,3.06
26363,0.32,Very Good,F,VS2,60.2,59.0,645,4.4,4.43,2.66
11766,1.1,Ideal,E,SI2,61.6,56.0,5082,6.61,6.64,4.08
10230,0.91,Good,G,VS1,64.1,60.0,4744,6.11,6.06,3.9
28662,0.36,Very Good,E,VS2,60.4,58.0,677,4.58,4.62,2.78
24387,0.41,Good,E,SI2,63.8,57.0,638,4.68,4.75,3.01
37031,0.35,Very Good,F,VVS1,61.6,56.0,966,4.53,4.55,2.79
18082,1.01,Good,G,VVS2,58.2,55.0,7306,6.65,6.68,3.88
8639,0.9,Ideal,G,SI1,62.3,58.0,4452,6.17,6.22,3.86
10120,1.02,Premium,D,SI2,61.5,56.0,4718,6.51,6.47,3.99
7119,1.01,Good,E,SI2,57.5,63.0,4171,6.56,6.58,3.78
2583,0.92,Ideal,J,VS2,61.1,57.0,3215,6.31,6.22,3.83
47404,0.56,Premium,E,SI1,61.5,60.0,1848,5.3,5.27,3.25
11006,1.14,Very Good,E,SI2,62.6,56.0,4915,6.63,6.69,4.17
37391,0.5,Ideal,I,SI1,62.0,55.0,982,5.08,5.11,3.16
44829,0.52,Ideal,F,SI1,61.8,55.0,1624,5.19,5.15,3.2
37585,0.32,Premium,F,VVS1,61.3,58.0,990,4.4,4.37,2.69
30447,0.3,Ideal,E,VVS2,61.2,61.0,731,4.3,4.33,2.64
45981,0.3,Good,E,SI1,63.8,55.0,526,4.25,4.28,2.72
20116,1.51,Very Good,F,SI2,62.7,60.0,8581,7.25,7.32,4.57
37000,0.44,Premium,G,VS1,62.3,59.0,965,4.82,4.87,3.02
40033,0.47,Premium,G,SI1,59.5,60.0,1110,5.09,5.06,3.02
49101,0.52,Very Good,F,VVS2,62.1,58.0,2064,5.12,5.16,3.19
43835,0.55,Premium,G,VS2,62.7,60.0,1445,5.27,5.19,3.28
1039,0.91,Premium,J,SI1,62.8,59.0,2905,6.19,6.14,3.87
47224,0.51,Ideal,G,VVS1,60.8,56.0,1839,5.21,5.22,3.17
29372,0.31,Very Good,G,VS2,63.5,58.0,698,4.29,4.22,2.7
30807,0.3,Very Good,G,IF,60.5,58.0,743,4.35,4.38,2.64
24614,1.81,Premium,I,VS2,62.7,58.0,12939,7.77,7.68,4.84
33437,0.32,Ideal,G,VS1,61.2,57.0,828,4.43,4.4,2.7
45082,0.55,Ideal,D,VS2,61.0,56.0,1645,5.28,5.31,3.23
37459,0.42,Premium,H,VVS2,62.4,57.0,984,4.83,4.78,3.0
30634,0.41,Very Good,G,SI1,60.4,58.0,735,4.77,4.84,2.9
22478,1.7,Premium,I,SI1,59.7,60.0,10501,7.77,7.72,4.62
40873,0.5,Good,D,SI2,61.9,63.0,1175,5.05,5.07,3.13
14251,1.02,Ideal,F,SI1,62.3,56.0,5773,6.41,6.44,4.0
50453,0.7,Premium,F,SI1,60.5,58.0,2264,5.77,5.84,3.51
39494,0.41,Ideal,E,VS1,62.3,57.0,1079,4.74,4.77,2.96
20397,0.31,Premium,H,VVS2,62.4,59.0,625,4.31,4.35,2.7
51864,0.74,Very Good,H,SI1,62.4,58.0,2426,5.71,5.76,3.58
24699,0.3,Very Good,H,VVS1,62.6,56.0,638,4.25,4.28,2.67
